job_title,experience_level,employment_type,company_size,industry,company_location_name,remote_ratio,years_experience,education_level,primary_language,team_size,certifications_count,uses_ai_tools_daily,ai_tools_hours_per_week,salary_usd
Data Analyst,Lead,Part-time,S,Finance,India,0,14,Bachelors,Python,5,0,True,12,23844
Research Scientist,Senior,Full-time,L,Retail,United States,50,8,Masters,SQL,6,1,False,2,170132
Machine Learning Engineer,Entry,Full-time,M,Government,United States,0,0,Bootcamp,Python,4,1,True,5,83059
Data Engineer,Senior,Full-time,M,Government,Brazil,100,10,Masters,Java,6,2,True,2,29531
Data Engineer,Mid,Full-time,M,Education,United States,0,3,Bachelors,Python,13,2,False,4,70105
Analytics Engineer,Senior,Full-time,M,Finance,Singapore,100,12,Masters,Python,9,1,True,17,97827
Business Intelligence Analyst,Senior,Full-time,M,Technology,United States,0,10,Bachelors,Python,6,1,False,0,120062
Data Analyst,Entry,Full-time,M,Retail,United States,0,1,Masters,Python,11,3,False,4,64165
Research Scientist,Mid,Full-time,M,Finance,Australia,0,2,Masters,Python,12,3,True,7,112968
Data Engineer,Entry,Part-time,L,Healthcare,Great Britain,0,3,Self-taught,SQL,8,2,False,2,26464
Data Science Manager,Senior,Full-time,M,Healthcare,United States,0,10,Bachelors,Python,9,0,True,8,188326
Computer Vision Engineer,Mid,Contract,L,Technology,Great Britain,0,7,Bachelors,SQL,6,1,False,3,112063
Research Scientist,Lead,Full-time,M,Consulting,India,100,14,Masters,Python,8,1,True,4,60087
Analytics Engineer,Entry,Full-time,L,Healthcare,United States,50,4,Bachelors,SQL,11,1,True,5,75169
Machine Learning Engineer,Mid,Freelance,L,Technology,France,50,7,Masters,SQL,5,1,True,7,123386
LLM Engineer,Entry,Full-time,M,Healthcare,Germany,0,2,Masters,SQL,11,2,True,5,61792
Machine Learning Engineer,Entry,Full-time,L,Technology,United States,0,0,Masters,SQL,5,2,True,14,121126
Data Engineer,Mid,Full-time,L,Media,United States,50,9,Self-taught,Python,5,3,True,10,127602
Data Analyst,Entry,Contract,S,Consulting,Poland,0,3,Bachelors,SQL,7,0,False,1,24899
Data Analyst,Mid,Full-time,S,Retail,Poland,50,5,Bachelors,Python,6,1,True,10,29902
Machine Learning Engineer,Senior,Full-time,L,Technology,United States,100,9,Masters,Python,6,3,False,2,267112
Machine Learning Engineer,Mid,Full-time,M,Retail,Great Britain,50,6,Masters,Python,12,0,True,8,95682
Research Scientist,Entry,Full-time,M,Manufacturing,India,50,5,PhD,R,13,1,False,2,32162
Data Scientist,Entry,Full-time,M,Technology,India,100,1,Bachelors,SQL,4,1,False,3,24840
Machine Learning Engineer,Entry,Freelance,L,Energy,United States,100,0,Bachelors,Python,8,0,False,4,128115
