job_title,experience_level,employment_type,company_size,company_location,industry,remote_ratio,years_experience,education_level,primary_language,team_size,certifications_count,uses_ai_tools_daily,ai_tools_hours_per_week,salary_usd
Data Analyst,Lead,Part-time,S,IN,Finance,0,14.4,Bachelors,Python,5,0,True,12.5,23844
Research Scientist,Senior,Full-time,L,US,Retail,50,7.6,Masters,SQL,6,1,False,2.1,170132
Machine Learning Engineer,Entry,Full-time,M,US,Government,0,0.0,Bootcamp,Python,4,1,True,5.1,83059
Data Engineer,Senior,Full-time,M,BR,Government,100,9.7,Masters,Java,6,2,True,2.0,29531
Data Engineer,Mid,Full-time,M,US,Education,0,3.2,Bachelors,Python,13,2,False,4.0,70105
Analytics Engineer,Senior,Full-time,M,SG,Finance,100,11.6,Masters,Python,9,1,True,17.4,97827
Business Intelligence Analyst,Senior,Full-time,M,US,Technology,0,9.8,Bachelors,Python,6,1,False,0.5,120062
Data Analyst,Entry,Full-time,M,US,Retail,0,1.4,Masters,Python,11,3,False,4.2,64165
Research Scientist,Mid,Full-time,M,AU,Finance,0,2.2,Masters,Python,12,3,True,6.6,112968
Data Engineer,Entry,Part-time,L,GB,Healthcare,0,2.8,Self-taught,SQL,8,2,False,2.0,26464
Data Science Manager,Senior,Full-time,M,US,Healthcare,0,9.5,Bachelors,Python,9,0,True,7.8,188326
Computer Vision Engineer,Mid,Contract,L,GB,Technology,0,6.6,Bachelors,SQL,6,1,False,3.1,112063
Research Scientist,Lead,Full-time,M,IN,Consulting,100,14.1,Masters,Python,8,1,True,4.3,60087
Analytics Engineer,Entry,Full-time,L,US,Healthcare,50,4.0,Bachelors,SQL,11,1,True,5.0,75169
Machine Learning Engineer,Mid,Freelance,L,FR,Technology,50,6.9,Masters,SQL,5,1,True,7.0,123386
LLM Engineer,Entry,Full-time,M,DE,Healthcare,0,1.5,Masters,SQL,11,2,True,5.4,61792
Machine Learning Engineer,Entry,Full-time,L,US,Technology,0,0.1,Masters,SQL,5,2,True,14.3,121126
Data Engineer,Mid,Full-time,L,US,Media,50,9.0,Self-taught,Python,5,3,True,9.5,127602
Data Analyst,Entry,Contract,S,PL,Consulting,0,2.8,Bachelors,SQL,7,0,False,0.9,24899
Data Analyst,Mid,Full-time,S,PL,Retail,50,4.6,Bachelors,Python,6,1,True,9.7,29902
Machine Learning Engineer,Senior,Full-time,L,US,Technology,100,9.1,Masters,Python,6,3,False,2.5,267112
Machine Learning Engineer,Mid,Full-time,M,GB,Retail,50,6.3,Masters,Python,12,0,True,8.2,95682
Research Scientist,Entry,Full-time,M,IN,Manufacturing,50,4.6,PhD,R,13,1,False,1.9,32162
Data Scientist,Entry,Full-time,M,IN,Technology,100,1.1,Bachelors,SQL,4,1,False,2.9,24840
Machine Learning Engineer,Entry,Freelance,L,US,Energy,100,0.1,Bachelors,Python,8,0,False,4.4,128115
Data Engineer,Senior,Full-time,S,IN,Technology,50,11.4,Masters,R,7,0,True,6.8,47620
Data Analyst,Mid,Full-time,M,DE,Manufacturing,100,3.9,Bachelors,Python,10,2,True,11.9,47829
AI Engineer,Lead,Full-time,L,US,Finance,100,15.9,Bachelors,Python,14,3,True,11.5,221527
Machine Learning Engineer,Mid,Full-time,M,GB,Education,100,3.3,Bachelors,Python,18,1,True,12.3,95058
Data Engineer,Senior,Full-time,M,US,Education,0,10.1,Bootcamp,SQL,4,2,False,1.3,93560
Data Analyst,Senior,Full-time,M,PL,Energy,50,6.5,Bachelors,Python,8,3,False,5.0,49555
Business Intelligence Analyst,Senior,Full-time,M,IN,Finance,50,11.2,Bachelors,Python,12,3,False,2.3,30459
Analytics Engineer,Senior,Full-time,L,IN,Healthcare,0,11.2,Bootcamp,R,6,4,True,4.2,39008
AI Engineer,Mid,Full-time,S,IN,Finance,0,6.2,Bootcamp,SQL,5,2,False,2.6,24260
Data Engineer,Entry,Full-time,M,US,Media,50,0.1,Masters,Python,9,4,True,18.5,113587
Computer Vision Engineer,Entry,Full-time,M,NL,Retail,50,0.3,Self-taught,Julia,6,1,False,1.5,63639
AI Engineer,Mid,Full-time,M,IN,Technology,0,,Bachelors,Python,12,0,True,7.9,38694
Machine Learning Engineer,Lead,Full-time,S,IN,Media,100,11.3,Masters,Python,6,4,False,5.2,45726
Business Intelligence Analyst,Mid,Part-time,M,US,Finance,0,6.3,Bachelors,Python,5,3,False,3.4,45653
Data Engineer,Lead,Full-time,L,FR,Technology,100,15.0,Bachelors,Python,8,2,False,3.3,139305
MLOps Engineer,Mid,Full-time,L,NL,Government,100,5.8,Self-taught,SQL,6,1,False,0.2,53183
Data Engineer,Executive,Full-time,M,IN,Technology,100,17.3,Masters,Python,7,4,True,8.8,76753
Data Analyst,Lead,Full-time,L,AU,Media,100,14.0,PhD,SQL,7,1,True,12.6,135285
MLOps Engineer,Entry,Full-time,S,PL,Education,50,3.0,Masters,Python,8,4,True,11.4,34110
Data Analyst,Senior,Full-time,M,US,Technology,0,11.4,PhD,Python,10,3,True,7.9,172487
Machine Learning Engineer,Lead,Full-time,M,IN,Finance,100,11.3,PhD,Python,8,4,True,25.0,69827
AI Engineer,Mid,Contract,M,CA,Consulting,100,5.6,Self-taught,Python,8,2,False,0.0,91428
Data Analyst,Mid,Contract,M,IN,Media,0,6.5,Bachelors,Python,4,0,False,2.3,20358
MLOps Engineer,Senior,Full-time,M,BR,Technology,0,7.2,PhD,Python,7,0,False,2.2,47335
